# Title: ProtoConsent Advanced Tracking
# Description: Advanced or non-cookie techniques to identify or track devices across sites or sessions (curated - high-confidence sources)
# Version: 2026-08-13
# Last modified: 2026-08-13T03:36:44.233Z
# Entries: 1881
# Homepage: https://github.com/ProtoConsent/data
# License: GPL-3.0-or-later
#
0.0.0.0 00px.net
0.0.0.0 0network.com
0.0.0.0 1f7wwaex9rbh.com
0.0.0.0 2449march2024.com
0.0.0.0 2475april2024.com
0.0.0.0 2477april2024.com
0.0.0.0 2489may2024.com
0.0.0.0 2493may2024.com
0.0.0.0 2497may2024.com
0.0.0.0 24smi.net
0.0.0.0 2mdn.net
0.0.0.0 2no.co
0.0.0.0 3rdspacetech.com
0.0.0.0 51ginkgo.com
0.0.0.0 aamapi.com
0.0.0.0 aanqylta.com
0.0.0.0 abdomencompelled.com
0.0.0.0 abilityscale.com
0.0.0.0 abilitytoucan.com
0.0.0.0 abjectattempt.com
0.0.0.0 ablecheap.com
0.0.0.0 abnegateexcavator.com
0.0.0.0 abnegationherb.com
0.0.0.0 abnormalrebel.com
0.0.0.0 abolishmentpass.com
0.0.0.0 abroadwas.com
0.0.0.0 absolutering.com
0.0.0.0 absorptionliquor.com
0.0.0.0 abstractedauthority.com
0.0.0.0 absurdapple.com
0.0.0.0 absurdoctober.com
0.0.0.0 abundantcoin.com
0.0.0.0 accentmine.com
0.0.0.0 acceptablefabric.com
0.0.0.0 accessorygraph.com
0.0.0.0 acclaimbedtime.com
0.0.0.0 accountsdoor.com
0.0.0.0 accurateanimal.com
0.0.0.0 accuratecoal.com
0.0.0.0 acebunny.com
0.0.0.0 acidicstraw.com
0.0.0.0 acidprolific.com
0.0.0.0 acint.net
0.0.0.0 acquiredcycle.com
0.0.0.0 acquitjeans.com
0.0.0.0 acrebackcharacter.com
0.0.0.0 activitycommence.com
0.0.0.0 actuallysheep.com
0.0.0.0 ad-score.com
0.0.0.0 ad2iction.com
0.0.0.0 adamantsnail.com
0.0.0.0 adapf.com
0.0.0.0 adaptapes.com
0.0.0.0 adapthopperpriest.com
0.0.0.0 adbot.tw
0.0.0.0 addin1.name
0.0.0.0 addingdetestable.com
0.0.0.0 addresscake.com
0.0.0.0 addresseerosebud.com
0.0.0.0 addressfriend.com
0.0.0.0 adeptoksuspicion.com
0.0.0.0 adfuture.cn
0.0.0.0 adheretalk.com
0.0.0.0 aditude.io
0.0.0.0 adjoiningsentence.com
0.0.0.0 adless.io
0.0.0.0 adloox.com
0.0.0.0 admatic.de
0.0.0.0 admd.ink
0.0.0.0 admeld.com
0.0.0.0 adminer.com
0.0.0.0 admiral.pub
0.0.0.0 admiralproxied.com
0.0.0.0 admissiblepedal.com
0.0.0.0 admithelperbusy.com
0.0.0.0 admonishmare.com
0.0.0.0 admonishmenttub.com
0.0.0.0 adnz.co
0.0.0.0 adoptbeggarly.com
0.0.0.0 adoptionconcerned.com
0.0.0.0 adorableanger.com
0.0.0.0 adornmenttaunt.com
0.0.0.0 adpone.com
0.0.0.0 ads-connect.com
0.0.0.0 adsadminister.com
0.0.0.0 adsafeprotected.com
